#The following lines beginning with # are comments. Readable columns names and datatypes are provided as informational comment lines in addition to the database column names.
#If you want to re-upload this table import it as a Generic Table with these header lines unmodified.
#dataproduct_type, calib_level, obs_collection, obs_id, target_name, s_ra, s_dec, t_min, t_max, t_exptime, wavelength_region, filters, em_min, em_max, target_classification, obs_title, t_obs_release, instrument_name, proposal_pi, proposal_id, proposal_type, project, sequence_number, provenance_name, s_region, jpegURL, dataURL, dataRights, mtFlag, srcDen, intentType, obsid, objID, wave_min, wave_max, wave_region
#@string, int, string, string, string, ra, dec, float, float, float, string, string, float, float, string, string, float, string, string, string, string, string, int, string, string, string, string, string, string, float, string, string, string, float, float, string
dataproduct_type,calib_level,obs_collection,obs_id,target_name,s_ra,s_dec,t_min,t_max,t_exptime,wavelength_region,filters,em_min,em_max,target_classification,obs_title,t_obs_release,instrument_name,proposal_pi,proposal_id,proposal_type,project,sequence_number,provenance_name,s_region,jpegURL,dataURL,dataRights,mtFlag,srcDen,intentType,obsid,objID,wave_min,wave_max,wave_region
timeseries,3,TESS,tess2021336043614-s0046-0000000262719848-0217-s,262719848,149.202691391584,3.807065250669,59551.0656464931,59578.2041832292,120,Optical,TESS,600,1000,,,59603,Photometer,"Ricker, George",G04139_G04039_G04191,,TESS,46,SPOC,CIRCLE 149.20269139 3.80706525 0.00138889,,mast:TESS/product/tess2021336043614-s0046-0000000262719848-0217-s_lc.fits,PUBLIC,False,NaN,science,71493658,142809507,600,1000,Optical
image,3,PS1,rings.v3.skycell.1360.051.stk.z,1360.051,153.4006550029,2.1993742142162,55236.4410055,57017.6627765222,572,OPTICAL,z,802.799987792969,934.599975585938,,PS1 3PI Survey,57741.5416666,GPC1,,,3PI,PS1,-999,3PI,POLYGON ICRS   153.617136     1.982475  153.617563     2.415836  153.184117     2.416282  153.183804     1.982841,http://ps1images.stsci.edu/cgi-bin/fitscut.cgi?red=rings.v3.skycell/1360/051/rings.v3.skycell.1360.051.stk.z.unconv.fits,http://ps1images.stsci.edu/rings.v3.skycell/1360/051/rings.v3.skycell.1360.051.stk.z.unconv.fits,PUBLIC,,5885,science,2120965,42096296,802.799987792969,934.599975585938,OPTICAL
timeseries,3,TESS,tess2023315124025-s0072-0000000374225115-0267-s,374225115,158.646251962174,3.72555584460981,60259.6803391204,60285.0731150347,120,Optical,TESS,600,1000,,,60297,Photometer,"Ricker, George",G06002,,TESS,72,SPOC,CIRCLE 158.64625196 3.72555584 0.00138889,,mast:TESS/product/tess2023315124025-s0072-0000000374225115-0267-s_lc.fits,PUBLIC,False,NaN,science,198797482,362251644,600,1000,Optical
timeseries,3,TESS,tess2023043185947-s0062-0000000344840334-0254-a_fast,344840334,150.144643465218,3.27003798361216,59987.9449607407,60013.6579346065,20,Optical,TESS,600,1000,,,60037,Photometer,"Ricker, George",G05112,,TESS,62,SPOC,CIRCLE 150.14464347 3.27003798 0.00138889,,mast:TESS/product/tess2023043185947-s0062-0000000344840334-0254-a_fast-lc.fits,PUBLIC,False,NaN,science,124163982,823025160,600,1000,Optical
timeseries,3,TESS,tess2021310001228-s0045-0000000842054224-0216-s,842054224,152.112338132542,3.28133396359783,59525.0044699769,59550.1249943634,120,Optical,TESS,600,1000,,,59575,Photometer,"Ricker, George",G04177,,TESS,45,SPOC,CIRCLE 152.11233813 3.28133396 0.00138889,,mast:TESS/product/tess2021310001228-s0045-0000000842054224-0216-s_lc.fits,PUBLIC,False,NaN,science,71251700,137231410,600,1000,Optical
image,3,PS1,rings.v3.skycell.1360.066.stk.r,1360.066,151.399375995832,2.60006959703531,55191.5343171,56682.525819363,1512,OPTICAL,r,538.599975585938,703.599975585938,,PS1 3PI Survey,57741.5416666,GPC1,,,3PI,PS1,-999,3PI,POLYGON ICRS   151.616280     2.383413  151.616178     2.816895  151.182415     2.816672  151.182631     2.383224,http://ps1images.stsci.edu/cgi-bin/fitscut.cgi?red=rings.v3.skycell/1360/066/rings.v3.skycell.1360.066.stk.r.unconv.fits,http://ps1images.stsci.edu/rings.v3.skycell/1360/066/rings.v3.skycell.1360.066.stk.r.unconv.fits,PUBLIC,,5885,science,2121038,42096369,538.599975585938,703.599975585938,OPTICAL
image,3,PS1,rings.v3.skycell.1361.055.stk.i,1361.055,155.799788249523,2.20001748718627,55251.3494013,57024.5791830334,1401,OPTICAL,i,677.799987792969,830.400024414063,,PS1 3PI Survey,57741.5416666,GPC1,,,3PI,PS1,-999,3PI,POLYGON ICRS   156.016607     1.983264  156.016612     2.416798  155.582912     2.416734  155.583022     1.983211,http://ps1images.stsci.edu/cgi-bin/fitscut.cgi?red=rings.v3.skycell/1361/055/rings.v3.skycell.1361.055.stk.i.unconv.fits,http://ps1images.stsci.edu/rings.v3.skycell/1361/055/rings.v3.skycell.1361.055.stk.i.unconv.fits,PUBLIC,,5885,science,2121482,42096813,677.799987792969,830.400024414063,OPTICAL
timeseries,3,TESS,tess2021336043614-s0046-0000000277734546-0217-s,277734546,153.690677588031,5.14727742249786,59551.0652879977,59578.2039082407,120,Optical,TESS,600,1000,,,59603,Photometer,"Ricker, George",N/A,,TESS,46,SPOC,CIRCLE 153.69067759 5.14727742 0.00138889,,mast:TESS/product/tess2021336043614-s0046-0000000277734546-0217-s_lc.fits,PUBLIC,False,NaN,science,71493935,142810392,600,1000,Optical
image,3,PS1,rings.v3.skycell.1359.060.stk.g,1359.060,149.801066512432,2.59892930636144,55191.5165272,56661.6047172852,1340,OPTICAL,g,394.299987792969,559.299987792969,,PS1 3PI Survey,57741.5416666,GPC1,,,3PI,PS1,-999,3PI,POLYGON ICRS   150.017463     2.381991  150.017996     2.815214  149.584613     2.815882  149.584194     2.382556,http://ps1images.stsci.edu/cgi-bin/fitscut.cgi?red=rings.v3.skycell/1359/060/rings.v3.skycell.1359.060.stk.g.unconv.fits,http://ps1images.stsci.edu/rings.v3.skycell/1359/060/rings.v3.skycell.1359.060.stk.g.unconv.fits,PUBLIC,,5885,science,2120506,42095837,394.299987792969,559.299987792969,OPTICAL
image,3,PS1,rings.v3.skycell.1360.068.stk.r,1360.068,150.598864740175,2.59943582439632,55191.5343171,57007.5719329334,1808,OPTICAL,r,538.599975585938,703.599975585938,,PS1 3PI Survey,57741.5416666,GPC1,,,3PI,PS1,-999,3PI,POLYGON ICRS   150.815768     2.382958  150.815456     2.816357  150.381904     2.815837  150.382331     2.382517,http://ps1images.stsci.edu/cgi-bin/fitscut.cgi?red=rings.v3.skycell/1360/068/rings.v3.skycell.1360.068.stk.r.unconv.fits,http://ps1images.stsci.edu/rings.v3.skycell/1360/068/rings.v3.skycell.1360.068.stk.r.unconv.fits,PUBLIC,,5885,science,2121048,42096379,538.599975585938,703.599975585938,OPTICAL
image,3,PS1,rings.v3.skycell.1450.026.stk.z,1450.026,153.100127512296,4.99869115019296,55236.4404218,57017.6642315222,602,OPTICAL,z,802.799987792969,934.599975585938,,PS1 3PI Survey,57741.5416666,GPC1,,,3PI,PS1,-999,3PI,POLYGON ICRS   153.319494     4.782019  153.319185     5.215694  152.880587     5.215273  152.881244     4.781633,http://ps1images.stsci.edu/cgi-bin/fitscut.cgi?red=rings.v3.skycell/1450/026/rings.v3.skycell.1450.026.stk.z.unconv.fits,http://ps1images.stsci.edu/rings.v3.skycell/1450/026/rings.v3.skycell.1450.026.stk.z.unconv.fits,PUBLIC,,5885,science,2165839,42141170,802.799987792969,934.599975585938,OPTICAL
image,3,PS1,rings.v3.skycell.1449.015.stk.i,1449.015,149.460316005386,4.59863997084158,55264.3017451,57024.5716450334,1054,OPTICAL,i,677.799987792969,830.400024414063,,PS1 3PI Survey,57741.5416666,GPC1,,,3PI,PS1,-999,3PI,POLYGON ICRS   149.679383     4.381890  149.679396     4.815447  149.241075     4.815317  149.241410     4.381772,http://ps1images.stsci.edu/cgi-bin/fitscut.cgi?red=rings.v3.skycell/1449/015/rings.v3.skycell.1449.015.stk.i.unconv.fits,http://ps1images.stsci.edu/rings.v3.skycell/1449/015/rings.v3.skycell.1449.015.stk.i.unconv.fits,PUBLIC,,5885,science,2165281,42140612,677.799987792969,830.400024414063,OPTICAL
image,3,PS1,rings.v3.skycell.1451.010.stk.r,1451.010,159.573181201548,4.59635788810814,55247.3744039,56681.586031863,872,OPTICAL,r,538.599975585938,703.599975585938,,PS1 3PI Survey,57741.5416666,GPC1,,,3PI,PS1,-999,3PI,POLYGON ICRS   159.791228     4.379128  159.792845     4.812410  159.354961     4.813574  159.353691     4.380186,http://ps1images.stsci.edu/cgi-bin/fitscut.cgi?red=rings.v3.skycell/1451/010/rings.v3.skycell.1451.010.stk.r.unconv.fits,http://ps1images.stsci.edu/rings.v3.skycell/1451/010/rings.v3.skycell.1451.010.stk.r.unconv.fits,PUBLIC,,5885,science,2166257,42141588,538.599975585938,703.599975585938,OPTICAL
image,3,PS1,rings.v3.skycell.1359.080.stk.g,1359.080,149.801945037609,3.39868226657056,55191.5165272,56741.3727642852,1616,OPTICAL,g,394.299987792969,559.299987792969,,PS1 3PI Survey,57741.5416666,GPC1,,,3PI,PS1,-999,3PI,POLYGON ICRS   150.018447     3.181748  150.018980     3.614761  149.585386     3.615619  149.584967     3.182504,http://ps1images.stsci.edu/cgi-bin/fitscut.cgi?red=rings.v3.skycell/1359/080/rings.v3.skycell.1359.080.stk.g.unconv.fits,http://ps1images.stsci.edu/rings.v3.skycell/1359/080/rings.v3.skycell.1359.080.stk.g.unconv.fits,PUBLIC,,5885,science,2120606,42095937,394.299987792969,559.299987792969,OPTICAL
image,3,PS1,rings.v3.skycell.1360.094.stk.g,1360.094,152.20026850603,3.80022543383217,55235.4253723,56661.6026842852,758,OPTICAL,g,394.299987792969,559.299987792969,,PS1 3PI Survey,57741.5416666,GPC1,,,3PI,PS1,-999,3PI,POLYGON ICRS   152.417246     3.583598  152.417357     4.016698  151.983233     4.016804  151.983238     3.583693,http://ps1images.stsci.edu/cgi-bin/fitscut.cgi?red=rings.v3.skycell/1360/094/rings.v3.skycell.1360.094.stk.g.unconv.fits,http://ps1images.stsci.edu/rings.v3.skycell/1360/094/rings.v3.skycell.1360.094.stk.g.unconv.fits,PUBLIC,,5885,science,2121176,42096507,394.299987792969,559.299987792969,OPTICAL
timeseries,3,TESS,tess2021336043614-s0046-0000000842146633-0217-s,842146633,148.189954582536,2.16078411402621,59551.0656779745,59578.2041940278,120,Optical,TESS,600,1000,,,59603,Photometer,"Ricker, George",G04137_G04200_G04177,,TESS,46,SPOC,CIRCLE 148.18995458 2.16078411 0.00138889,,mast:TESS/product/tess2021336043614-s0046-0000000842146633-0217-s_lc.fits,PUBLIC,False,NaN,science,71503519,142841460,600,1000,Optical
timeseries,3,TESS,tess2021039152502-s0035-0000000374268988-0205-s,374268988,159.134757078899,1.93118936804373,59254.9214484722,59279.4842534954,120,Optical,TESS,600,1000,,,59312,Photometer,"Ricker, George",N/A,,TESS,35,SPOC,CIRCLE ICRS 159.13475708 1.93118937 0.00138889,,mast:TESS/product/tess2021039152502-s0035-0000000374268988-0205-s_lc.fits,PUBLIC,False,NaN,science,60668105,106884503,600,1000,Optical
timeseries,3,TESS,tess2023315124025-s0072-0000000842251290-0267-s,842251290,158.494990714355,2.96240778852381,60259.6803281597,60285.0731002199,120,Optical,TESS,600,1000,,,60297,Photometer,"Ricker, George",G06049,,TESS,72,SPOC,CIRCLE 158.49499071 2.96240779 0.00138889,,mast:TESS/product/tess2023315124025-s0072-0000000842251290-0267-s_lc.fits,PUBLIC,False,NaN,science,198801518,383507182,600,1000,Optical
image,3,PS1,rings.v3.skycell.1360.075.stk.g,1360.075,151.799690247322,3.00031646472294,55235.4253723,56661.6026842852,878,OPTICAL,g,394.299987792969,559.299987792969,,PS1 3PI Survey,57741.5416666,GPC1,,,3PI,PS1,-999,3PI,POLYGON ICRS   152.016615     2.783631  152.016620     3.217038  151.582708     3.216953  151.582818     2.783558,http://ps1images.stsci.edu/cgi-bin/fitscut.cgi?red=rings.v3.skycell/1360/075/rings.v3.skycell.1360.075.stk.g.unconv.fits,http://ps1images.stsci.edu/rings.v3.skycell/1360/075/rings.v3.skycell.1360.075.stk.g.unconv.fits,PUBLIC,,5885,science,2121081,42096412,394.299987792969,559.299987792969,OPTICAL
timeseries,3,TESS,tess2021336043614-s0046-0000000262686822-0217-s,262686822,148.614566003636,2.12713652211255,59551.0656385648,59578.2041636921,120,Optical,TESS,600,1000,,,59603,Photometer,"Ricker, George",G04214,,TESS,46,SPOC,CIRCLE 148.614566 2.12713652 0.00138889,,mast:TESS/product/tess2021336043614-s0046-0000000262686822-0217-s_lc.fits,PUBLIC,False,NaN,science,71493629,142809416,600,1000,Optical
